timestamp,container,cpu_pct,mem_usage,mem_pct
2026-06-23T12:00:00Z,jwksgw,12.5,128MiB,6.3
2026-06-23T12:00:03Z,jwksgw,14.8,132MiB,6.5
2026-06-23T12:00:06Z,jwksgw,15.2,135MiB,6.6
2026-06-23T12:00:09Z,jwksgw,13.9,134MiB,6.5
2026-06-23T12:00:12Z,jwksgw,16.1,138MiB,6.7
2026-06-23T12:00:15Z,jwksgw,16.8,140MiB,6.8
2026-06-23T12:00:18Z,jwksgw,17.3,142MiB,6.9
2026-06-23T12:00:21Z,jwksgw,18.0,145MiB,7.0
2026-06-23T12:00:24Z,jwksgw,17.6,144MiB,6.9
2026-06-23T12:00:27Z,jwksgw,16.9,142MiB,6.8
2026-06-23T12:00:30Z,jwksgw,15.7,141MiB,6.7
2026-06-23T12:00:33Z,jwksgw,16.2,143MiB,6.8
2026-06-23T12:00:36Z,jwksgw,16.5,144MiB,6.9
2026-06-23T12:00:39Z,jwksgw,15.8,143MiB,6.8
2026-06-23T12:00:42Z,jwksgw,15.1,141MiB,6.7
